File_Size,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,
1100k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,373,1,1,49.06240387418129,7.262438753858024,,,1067,195,1,0,21.388994016966166,4250.338007330247,,,656,373,0,4,35.15242428989189,178.6818504050926,,,656,373,1,6,10.23207401175651,55477.31950617284,,,1028,1580,1,0,58.794658060666556,0.7724263209544207,,,1721,167,1,0,22.862292994021725,3027.56566190757,,,1028,1580,0,1,55.10790204812763,1.8052305125838761,,,1028,1580,1,7,15.43436529816513,16745.04582923224,,,
1200k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,800,1,1,48.227813685827,8.80119212962963,,,640,213,2,0,21.049885872362847,4595.516005979938,,,16,800,0,4,33.55701889035756,258.00075761959874,,,16,800,1,6,9.929511893200193,59480.0987654321,,,1120,1946,1,0,58.4130427024194,0.8433708770753001,,,46,183,2,0,22.520049428265946,3275.8041402972663,,,1120,1946,0,1,54.43252728192252,2.1089687381488407,,,1120,1946,1,7,14.889635092984543,18982.760176743486,,,
1300k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296,146,2,1,47.477057363149235,10.46205825617284,,,214,231,0,0,20.724551026919787,4952.993609182099,,,1296,146,0,5,30.818114401409723,484.7428703703704,,,1296,146,2,6,9.57255755335671,64575.40148148148,,,1212,2312,1,0,57.94965517848009,0.9383337827183336,,,610,198,0,0,22.183393087286802,3539.839422317409,,,1212,2312,0,1,53.84920799069065,2.41213756003674,,,1212,2312,1,7,14.411364021552266,21192.708675030342,,,
1400k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,573,2,1,46.792883162384236,12.24713638117284,,,1707,248,1,0,20.446835531043476,5280.0655869020065,,,656,573,0,5,28.049974589310317,916.907259837963,,,656,573,2,6,9.335284579840085,68201.57629629629,,,1304,232,2,0,57.49594141427864,1.041666575328252,,,1173,213,1,0,21.84415636712656,3827.4297971118062,,,1304,232,0,2,52.40269270208134,3.3655310378893666,,,1304,232,2,7,13.811489528053338,24331.782041698545,,,
1500k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1000,2,1,46.17677882684007,14.11383342978395,,,1280,266,2,0,20.149678451269647,5653.989858699846,,,16,1000,0,5,26.77203854099222,1230.6059659529321,,,16,1000,2,6,8.996813648745729,73729.53679012346,,,1396,598,2,0,57.14791852719232,1.1285765383033122,,,1736,228,2,0,21.565734539327487,4080.8385803599026,,,1396,598,0,2,50.958543051877385,4.693194630470349,,,1396,598,2,7,13.215500871565755,27910.832031578248,,,
1600k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296,346,0,2,44.31636580621074,21.6613884066358,,,854,284,0,0,19.908150156411214,5977.338552276235,,,1296,346,0,6,22.938487243462834,2974.912153742284,,,1296,346,0,5,8.781726517799921,77472.97234567901,,,1488,964,2,0,56.77748645713348,1.2290632259120506,,,62,244,0,0,21.28122340979871,4357.13011559059,,,1488,964,0,2,49.879230750370425,6.017274103659601,,,1488,964,2,7,12.859487994474478,30295.217225402015,,,
1700k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,773,0,2,43.18794968684523,28.088458236882715,,,427,302,1,0,19.677528073052564,6303.330269097222,,,656,773,0,6,21.24977762273018,4388.793105709877,,,656,773,0,5,8.647408839608921,79906.4775308642,,,1580,1330,2,0,56.459517096228815,1.3224253344995422,,,625,259,1,0,21.000571629305863,4647.995590546693,,,1580,1330,0,2,49.019709789155954,7.334185520742223,,,1580,1330,2,7,12.69411758374874,31471.041230160383,,,
1800k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,120,1,2,42.2645989916603,34.742652391975305,,,0,320,2,0,19.446898368125577,6647.112567033179,,,16,120,0,7,18.806715811809443,7702.847309992284,,,16,120,1,5,8.53426636634937,82015.55604938272,,,1672,1696,2,0,56.17577405797383,1.4117099135792455,,,1188,274,2,0,20.732562596478104,4943.865085489103,,,1672,1696,0,2,48.29896211649115,8.658180962589977,,,1672,1696,2,7,12.326906882922305,34247.7608365722,,,
1900k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296,546,1,2,41.413717105724416,42.26210841049383,,,1494,337,0,0,19.250040321685187,6955.347583912037,,,1296,546,0,7,15.830516127349313,15285.204643132716,,,1296,546,1,5,8.491512547396896,82826.93975308642,,,1764,2062,2,0,55.864824144392855,1.5164931602141558,,,1752,289,0,0,20.476751132020432,5243.8197763377975,,,1764,2062,0,2,47.683761993516185,9.975775591014346,,,1764,2062,2,7,11.927450268064463,37547.22485690924,,,
2000k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,973,1,2,40.73609569105941,49.398447627314816,,,1067,355,1,0,19.059422479658533,7267.426067708333,,,656,973,0,7,14.402669255023195,21235.179910300925,,,656,973,1,5,8.384813741405294,84887.06074074074,,,1856,2428,2,0,55.61863777089358,1.6049410794154633,,,77,305,1,0,20.251732612392335,5522.676558799652,,,1856,2428,0,2,47.14577921366726,11.291326065718355,,,1856,2428,2,7,11.528002976805006,41164.47421443483,,,
2100k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,320,2,2,40.05618831455678,57.770222318672836,,,640,373,2,0,18.86055462123582,7607.94576871142,,,16,320,1,0,14.115562564424696,22686.453736496915,,,16,320,2,5,8.317101853914863,86220.92641975309,,,1948,348,0,1,54.75652539474333,1.9573582957567095,,,640,320,2,0,20.039742728181743,5798.939762863554,,,1948,348,0,3,45.381685043709005,16.94940144110097,,,1948,348,0,6,11.423217807802216,42169.756135201314,,,
2200k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296,746,2,2,39.477651595534155,66.00209346064815,,,214,391,0,0,18.653552510313656,7979.351915027006,,,1296,746,1,0,14.10790745520652,22726.477369309414,,,1296,746,2,5,8.22611169437116,88046.41975308642,,,2040,714,0,1,54.019873376271725,2.3191857436079553,,,1204,335,0,0,19.831699206553587,6083.4921173121365,,,2040,714,0,3,44.22162951325339,22.139097810289382,,,2040,714,0,6,11.289110668897509,43492.24275558498,,,
2300k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,93,0,3,38.523920288816086,82.21117235725309,,,1707,408,1,0,18.35996749518985,8537.409652777778,,,656,93,1,1,14.100618003492425,22764.654844232253,,,656,93,0,4,8.10436615986262,90549.5412345679,,,2132,1080,0,1,53.391571317842626,2.680190963050323,,,1767,350,1,0,19.641807772356334,6355.388343172307,,,2132,1080,0,3,43.251073047796595,27.683153798545455,,,2132,1080,0,6,11.27992683229202,43584.31122286062,,,
2400k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,520,0,3,36.98300459910652,117.22558545524691,,,1280,426,2,0,17.998617817034944,9278.143572048612,,,16,520,1,1,14.089071359163945,22825.26006076389,,,16,520,0,4,8.040602033691366,91888.81839506172,,,2224,1446,0,1,52.83989043178618,3.0432233472679218,,,92,366,2,0,19.457177194391903,6631.398868828537,,,2224,1446,0,3,42.468006675805015,33.152951838350006,,,2224,1446,0,6,11.277719490570046,43606.46898110902,,,
2500k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296,946,0,3,36.09632497469798,143.77731626157407,,,854,444,0,0,17.6731191475136,10000.252264178242,,,1296,946,1,1,14.085687904741624,22843.049445891204,,,1296,946,0,4,7.978434648893996,93213.62666666666,,,78,1813,0,1,52.35004186986144,3.4065807135649235,,,656,381,0,0,19.272047824889093,6920.191103528805,,,78,1813,0,3,41.8334466352367,38.36879912636633,,,78,1813,0,6,11.256953133504101,43815.47830420369,,,
